DBN,SCHOOL NAME,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,Num of AP Test Takers,Num of AP Total Exams Taken,Num of AP Exams Passed,schoolyear,grade9,grade10,grade11,grade12,ell_num,ell_percent,sped_num,sped_percent,asian_num,asian_per,black_num,black_per,hispanic_num,hispanic_per,white_num,white_per,male_num,male_per,female_num,female_per,ATS SYSTEM CODE,PRIMARY_ADDRESS_LINE_1,X_COORDINATE,Y_COORDINATE,COMMUNITY_DISTRICT,COUNCIL_DISTRICT,CENSUS_TRACT,BOROUGH_BLOCK_LOT,NTA,NTA_NAME,Location 1
19K683,"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS",38,383,400,374,24,29,s,20112012,79,99,86,47,28.0,9.0,55.0,17.7,31,10.0,169,54.3,108,34.7,2,0.6,117.0,37.6,194.0,62.4,19K683,370 FOUNTAIN AVENUE,1019054.0,183408.0,305,42,111800,3042780001,BK82,East New York                                                              ,"370 FOUNTAIN AVENUE
BROOKLYN, NY 11208
(40.67002, -73.874537)"
20K445,NEW UTRECHT HIGH SCHOOL,456,402,471,399,264,362,155,20112012,1106,889,636,645,755.0,23.0,511.0,15.6,1176,35.9,181,5.5,916,28.0,1000,30.5,1943.0,59.3,1333.0,40.7,20K445,1601 80 STREET,983609.0,162624.0,311,43,18200,3062710001,BK28,Bensonhurst West                                                           ,"1601 80 STREET
BROOKLYN, NY 11214
(40.613041, -74.002308)"
20K485,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY,238,425,474,424,132,146,63,20112012,414,412,229,225,63.0,4.9,248.0,19.4,246,19.2,121,9.5,692,54.1,215,16.8,685.0,53.5,595.0,46.5,20K485,350 67 STREET,977750.0,171252.0,310,43,7000,3058500030,BK31,Bay Ridge                                                                  ,"350 67 STREET
BROOKLYN, NY 11220
(40.636721, -74.023419)"
20K490,FORT HAMILTON HIGH SCHOOL,694,417,478,411,435,705,414,20112012,1243,1462,849,721,908.0,21.2,547.0,12.8,1297,30.3,214,5.0,1292,30.2,1464,34.2,2282.0,53.4,1993.0,46.6,20K490,8301 SHORE ROAD,973673.0,167649.0,310,43,4600,3060130001,BK31,Bay Ridge                                                                  ,"8301 SHORE ROAD
BROOKLYN, NY 11209
(40.626827, -74.038103)"
20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,385,383,486,375,216,308,173,20112012,819,1063,596,630,1223.0,39.4,336.0,10.8,1373,44.2,292,9.4,848,27.3,578,18.6,1816.0,58.4,1292.0,41.6,20K505,5800 20 AVENUE,989085.0,165633.0,312,44,46800,3055060006,BK88,Borough Park                                                               ,"5800 20 AVENUE
BROOKLYN, NY 11204
(40.621299, -73.982583)"
20K609,THE URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,s,s,s,s,s,s,s,20112012,89,75,    ,    ,58.0,15.5,64.0,17.1,131,35.0,126,33.7,82,21.9,34,9.1,0.0,0.0,374.0,100.0,20K609,4200 16 AVENUE,989128.0,170661.0,312,44,23000,3053620021,BK88,Borough Park                                                               ,"4200 16 AVENUE
BROOKLYN, NY 11204
(40.6351, -73.982424)"
21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,54,326,386,314,s,s,s,20112012,83,103,79,78,306.0,89.2,1.0,0.3,144,42.0,48,14.0,72,21.0,78,22.7,202.0,58.9,141.0,41.1,21K337,2630 BENSON AVENUE,988051.0,155333.0,313,47,30600,3068830001,BK26,Gravesend                                                                  ,"2630 BENSON AVENUE
BROOKLYN, NY 11214
(40.593028, -73.986313)"
21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,54,402,427,408,55,71,6,20112012,147,128,124,82,53.0,11.0,77.0,16.0,59,12.3,116,24.1,124,25.8,181,37.6,258.0,53.6,223.0,46.4,21K344,521 WEST AVENUE,992025.0,151505.0,313,47,35400,3072500025,BK23,West Brighton                                                              ,"521 WEST AVENUE
BROOKLYN, NY 11224
(40.582518, -73.972009)"
21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,39,388,398,378,s,s,s,20112012,129,86,91,64,9.0,2.4,54.0,14.6,10,2.7,253,68.4,85,23.0,22,5.9,329.0,88.9,41.0,11.1,21K348,2630 BENSON AVENUE,988051.0,155333.0,313,47,30600,3068830001,BK26,Gravesend                                                                  ,"2630 BENSON AVENUE
BROOKLYN, NY 11214
(40.593028, -73.986313)"
21K410,ABRAHAM LINCOLN HIGH SCHOOL,475,396,437,393,121,149,79,20112012,788,784,486,537,434.0,16.7,299.0,11.5,500,19.3,911,35.1,522,20.1,652,25.1,1463.0,56.4,1132.0,43.6,21K410,2800 OCEAN PARKWAY,992935.0,151545.0,313,47,35400,3072540001,BK23,West Brighton                                                              ,"2800 OCEAN PARKWAY
BROOKLYN, NY 11235
(40.582627, -73.968733)"
21K468,KINGSBOROUGH EARLY COLLEGE SCHOOL,s,s,s,s,s,s,s,20112012,87,80,70,    ,13.0,2.8,74.0,15.7,34,7.2,118,25.0,107,22.7,211,44.7,273.0,57.8,199.0,42.2,21K468,2630 BENSON AVENUE,988051.0,155333.0,313,47,30600,3068830001,BK26,Gravesend                                                                  ,"2630 BENSON AVENUE
BROOKLYN, NY 11214
(40.593028, -73.986313)"
21K525,EDWARD R. MURROW HIGH SCHOOL,727,468,496,467,457,690,406,20112012,1216,1275,740,791,365.0,9.1,568.0,14.1,1089,27.1,970,24.1,707,17.6,1237,30.8,1707.0,42.4,2315.0,57.6,21K525,1600 AVENUE L,995593.0,165042.0,314,44,76800,3067340109,BK43,Midwood                                                                    ,"1600 AVENUE L
BROOKLYN, NY 11230
(40.619671, -73.959141)"
21K540,JOHN DEWEY HIGH SCHOOL,448,404,468,390,278,511,253,20112012,486,770,459,453,425.0,19.6,189.0,8.7,848,39.1,663,30.6,414,19.1,235,10.8,1116.0,51.5,1052.0,48.5,21K540,50 AVENUE X,989270.0,153527.0,313,47,30800,3071850020,BK26,Gravesend                                                                  ,"50 AVENUE X
BROOKLYN, NY 11223
(40.58807, -73.981925)"
21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,40,384,375,365,s,s,s,20112012,81,84,35,51,12.0,4.8,51.0,20.3,12,4.8,112,44.6,75,29.9,51,20.3,128.0,51.0,123.0,49.0,21K559,2630 BENSON AVENUE,988051.0,155333.0,313,47,30600,3068830001,BK26,Gravesend                                                                  ,"2630 BENSON AVENUE
BROOKLYN, NY 11214
(40.593028, -73.986313)"
21K572,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS,40,353,370,356,13,18,s,20112012,64,79,47,36,49.0,21.7,37.0,16.4,44,19.5,44,19.5,93,41.2,44,19.5,116.0,51.3,110.0,48.7,21K572,2630 BENSON AVENUE,988051.0,155333.0,313,47,30600,3068830001,BK26,Gravesend                                                                  ,"2630 BENSON AVENUE
BROOKLYN, NY 11214
(40.593028, -73.986313)"
21K620,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,95,394,414,376,49,49,s,20112012,284,277,186,209,30.0,3.1,217.0,22.7,31,3.2,716,74.9,134,14.0,66,6.9,746.0,78.0,210.0,22.0,21K620,25 BRIGHTON  4TH ROAD,994315.0,151777.0,313,48,36600,3072610201,BK19,Brighton Beach                                                             ,"25 BRIGHTON 4TH ROAD
BROOKLYN, NY 11235
(40.583263, -73.963764)"
21K690,BROOKLYN STUDIO SECONDARY SCHOOL,119,429,449,435,42,43,17,20112012,197,184,140,118,74.0,8.4,164.0,18.7,112,12.8,63,7.2,202,23.1,495,56.5,439.0,50.1,437.0,49.9,21K690,8310 21ST AVENUE,985615.0,159687.0,311,47,28800,3063290032,BK28,Bensonhurst West                                                           ,"8310 21ST AVENUE
BROOKLYN, NY 11214
(40.60498, -73.995084)"
21K728,LIBERATION DIPLOMA PLUS,10,411,369,373,s,s,s,20112012,27,101,21,42,3.0,1.6,12.0,6.3,5,2.6,84,44.0,72,37.7,29,15.2,80.0,41.9,111.0,58.1,21K728,2865 WEST 19TH STREET,988302.0,149485.0,313,47,32600,3070200039,BK21,Seagate-Coney Island                                                       ,"2865 WEST 19TH STREET
BROOKLYN, NY 11224
(40.576976, -73.985413)"
22K405,MIDWOOD HIGH SCHOOL,824,478,519,476,788,1226,706,20112012,930,1097,914,901,141.0,3.7,198.0,5.2,1216,31.7,1352,35.2,449,11.7,813,21.2,1739.0,45.3,2103.0,54.7,22K405,2839 BEDFORD AVENUE,997474.0,169837.0,314,45,77200,3075530041,BK42,Flatbush                                                                   ,"2839 BEDFORD AVENUE
BROOKLYN, NY 11210
(40.632829, -73.952356)"
22K425,JAMES MADISON HIGH SCHOOL,518,436,475,439,263,378,215,20112012,851,975,608,642,406.0,13.2,381.0,12.4,640,20.8,550,17.9,447,14.5,1428,46.4,1674.0,54.4,1402.0,45.6,22K425,3787 BEDFORD AVENUE,998782.0,161702.0,315,48,64200,3067880001,BK44,Madison                                                                    ,"3787 BEDFORD AVENUE
BROOKLYN, NY 11229
(40.610499, -73.947661)"
22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,259,524,561,542,386,651,398,20112012,254,247,257,264,5.0,0.5,75.0,7.3,138,13.5,96,9.4,110,10.8,670,65.6,421.0,41.2,601.0,58.8,22K535,1830 SHORE BOULEVARD,1002459.0,149994.0,315,48,61600,3087600060,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,"1830 SHORE BOULEVARD
BROOKLYN, NY 11235
(40.578356, -73.934449)"
22K555,BROOKLYN COLLEGE ACADEMY,131,456,456,440,s,s,s,20112012,161,148,140,121,1.0,0.2,11.0,1.7,37,5.9,491,77.9,78,12.4,17,2.7,229.0,36.3,401.0,63.7,22K555,350 CONEY ISLAND AVENUE,991933.0,175746.0,307,39,50400,3053220069,BK40,Windsor Terrace                                                            ,"350 CONEY ISLAND AVENUE
BROOKLYN, NY 11218
(40.649055, -73.972312)"
23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,60,389,409,387,s,s,s,20112012,148,85,70,71,9.0,1.6,70.0,12.1,11,1.9,511,88.1,48,8.3,3,0.5,294.0,50.7,286.0,49.3,23K493,2021 BERGEN STREET,1008470.0,185011.0,316,41,36501,3014480001,BK79,Ocean Hill                                                                 ,"2021 BERGEN STREET
BROOKLYN, NY 11233
(40.674456, -73.912685)"
23K514,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,55,361,371,359,29,31,s,20112012,127,118,52,68,5.0,1.4,74.0,20.3,3,0.8,323,88.5,38,10.4,0,0.0,177.0,48.5,188.0,51.5,23K514,226 BRISTOL STREET,1008635.0,181773.0,316,41,92400,3035410001,BK81,Brownsville                                                                ,"226 BRISTOL STREET
BROOKLYN, NY 11212
(40.665568, -73.912102)"
23K643,BROOKLYN DEMOCRACY ACADEMY,11,349,338,331,s,s,s,20112012,47,39,56,63,5.0,2.4,33.0,16.1,3,1.5,176,85.9,24,11.7,1,0.5,98.0,47.8,107.0,52.2,23K643,985 ROCKAWAY AVENUE,1010148.0,178159.0,316,42,92200,3036360007,BK81,Brownsville                                                                ,"985 ROCKAWAY AVENUE
BROOKLYN, NY 11212
(40.655644, -73.906662)"
23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,7,311,371,311,s,s,s,20112012,53,94,33,95,6.0,2.2,20.0,7.3,4,1.5,214,77.8,55,20.0,1,0.4,127.0,46.2,148.0,53.8,23K646,1495 HERKIMER STREET,1010838.0,186133.0,316,37,36700,3015540016,BK79,Ocean Hill                                                                 ,"1495 HERKIMER STREET
BROOKLYN, NY 11233
(40.677528, -73.904143)"
23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,17,350,346,332,s,s,s,20112012,32,65,37,47,2.0,1.1,16.0,8.8,0,0.0,156,86.2,25,13.8,0,0.0,88.0,48.6,93.0,51.4,23K647,985 ROCKAWAY AVENUE,1010148.0,178159.0,316,42,92200,3036360007,BK81,Brownsville                                                                ,"985 ROCKAWAY AVENUE
BROOKLYN, NY 11212
(40.655644, -73.906662)"
23K697,TEACHERS PREPARATORY HIGH SCHOOL,69,392,416,388,41,60,s,20112012,138,118,87,79,10.0,1.8,62.0,11.0,4,0.7,480,84.8,74,13.1,7,1.2,193.0,34.1,373.0,65.9,23K697,226 BRISTOL STREET,1008635.0,181773.0,316,41,92400,3035410001,BK81,Brownsville                                                                ,"226 BRISTOL STREET
BROOKLYN, NY 11212
(40.665568, -73.912102)"
24Q264,ACADEMY OF FINANCE AND ENTERPRISE,89,405,454,421,135,208,36,20112012,112,112,106,90,33.0,7.9,41.0,9.8,75,17.9,41,9.8,237,56.4,64,15.2,207.0,49.3,213.0,50.7,24Q264,30-20 THOMSON AVENUE,1001706.0,210406.0,402,26,17900,4002740001,QN31,Hunters Point-Sunnyside-West Maspeth                                       ,"30-20 THOMSON AVENUE
QUEENS, NY 11101
(40.744175, -73.937004)"
24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,39,406,413,400,67,69,6,20112012,129,108,79,72,40.0,10.3,63.0,16.2,54,13.9,50,12.9,222,57.2,62,16.0,170.0,43.8,218.0,56.2,24Q267,30-20 THOMSON AVENUE,1001706.0,210406.0,402,26,17900,4002740001,QN31,Hunters Point-Sunnyside-West Maspeth                                       ,"30-20 THOMSON AVENUE
QUEENS, NY 11101
(40.744175, -73.937004)"
24Q293,CIVIC LEADERSHIP ACADEMY,69,404,429,407,40,65,13,20112012,150,107,102,90,41.0,9.1,83.0,18.5,35,7.8,41,9.1,356,79.3,15,3.3,200.0,44.5,249.0,55.5,24Q293,45-10 94TH STREET,1019856.0,210081.0,404,25,46300,4016000061,QN29,Elmhurst                                                                   ,"45-10 94TH STREET
QUEENS, NY 11373
(40.743228, -73.871505)"
24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,55,317,323,311,s,s,s,20112012,94,84,83,105,334.0,91.3,3.0,0.8,0,0.0,0,0.0,366,100.0,0,0.0,175.0,47.8,191.0,52.2,24Q296,45-10 94TH STREET,1019856.0,210081.0,404,25,46300,4016000061,QN29,Elmhurst                                                                   ,"45-10 94TH STREET
QUEENS, NY 11373
(40.743228, -73.871505)"
24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,155,545,568,550,s,s,s,20112012,177,137,138,179,2.0,0.3,0.0,0.0,202,32.0,102,16.2,134,21.2,191,30.3,248.0,39.3,383.0,60.7,24Q299,30-20 THOMSON AVENUE,1001706.0,210406.0,402,26,17900,4002740001,QN31,Hunters Point-Sunnyside-West Maspeth                                       ,"30-20 THOMSON AVENUE
QUEENS, NY 11101
(40.744175, -73.937004)"
24Q455,NEWTOWN HIGH SCHOOL,320,383,440,380,213,269,132,20112012,616,729,564,663,771.0,30.0,265.0,10.3,632,24.6,240,9.3,1552,60.3,137,5.3,1479.0,57.5,1093.0,42.5,24Q455,48-01 90 STREET,1019130.0,209204.0,404,25,46100,4018490001,QN29,Elmhurst                                                                   ,"48-01 90 STREET
QUEENS, NY 11373
(40.740824, -73.874129)"
24Q485,GROVER CLEVELAND HIGH SCHOOL,241,395,420,396,150,223,92,20112012,478,591,514,486,446.0,21.6,263.0,12.7,189,9.1,91,4.4,1313,63.5,469,22.7,1138.0,55.0,931.0,45.0,24Q485,21-27 HIMROD STREET,1009422.0,198647.0,405,30,59500,4033630001,QN20,Ridgewood                                                                  ,"21-27 HIMROD STREET
QUEENS, NY 11385
(40.711881, -73.909202)"
24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,58,399,393,385,s,s,s,20112012,124,121,89,163,1.0,0.2,65.0,13.1,39,7.8,47,9.5,355,71.4,56,11.3,263.0,52.9,234.0,47.1,24Q520,45-35 VAN DAM STREET,1002728.0,210071.0,402,26,17900,4002490001,QN31,Hunters Point-Sunnyside-West Maspeth                                       ,"45-35 VAN DAM STREET
QUEENS, NY 11101
(40.743253, -73.933316)"
24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,69,326,409,329,s,s,s,20112012,115,114,125,139,377.0,76.5,0.0,0.0,212,43.0,10,2.0,217,44.0,51,10.3,227.0,46.0,266.0,54.0,24Q530,45-35 VAN DAM STREET,1002728.0,210071.0,402,26,17900,4002490001,QN31,Hunters Point-Sunnyside-West Maspeth                                       ,"45-35 VAN DAM STREET
QUEENS, NY 11101
(40.743253, -73.933316)"
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,138,391,403,380,257,386,77,20112012,329,235,132,132,110.0,13.3,101.0,12.2,75,9.1,69,8.3,656,79.2,25,3.0,357.0,43.1,471.0,56.9,24Q550,105-25 HORACE HARDING EXPY N,1024873.0,208065.0,404,21,43701,4019630005,QN25,Corona                                                                     ,"105-25 HORACE HARDING EXPY N
QUEENS, NY 11368
(40.737673, -73.853412)"
24Q560,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",80,443,447,440,s,s,s,20112012,146,119,109,117,23.0,3.8,74.0,12.3,125,20.8,37,6.2,375,62.4,63,10.5,280.0,46.6,321.0,53.4,24Q560,47-07 30TH PLACE,1001862.0,209693.0,402,26,19900,4002820001,QN31,Hunters Point-Sunnyside-West Maspeth                                       ,"47-07 30TH PLACE
QUEENS, NY 11101
(40.742217, -73.936442)"
24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,155,417,447,406,s,s,s,20112012,402,398,374,194,88.0,6.4,187.0,13.7,140,10.2,94,6.9,1015,74.2,119,8.7,825.0,60.3,543.0,39.7,24Q600,37-02 47 AVENUE,1004203.0,209491.0,402,26,18900,4002280020,QN31,Hunters Point-Sunnyside-West Maspeth                                       ,"37-02 47 AVENUE
QUEENS, NY 11101
(40.741658, -73.927995)"
24Q610,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,396,445,496,423,152,172,115,20112012,585,534,526,556,71.0,3.2,117.0,5.3,597,27.1,150,6.8,1218,55.3,223,10.1,1877.0,85.3,324.0,14.7,24Q610,45-30 36 STREET,1003764.0,210092.0,402,26,17900,4002260001,QN31,Hunters Point-Sunnyside-West Maspeth                                       ,"45-30 36 STREET
QUEENS, NY 11101
(40.743309, -73.929577)"
24Q744,VOYAGES PREPARATORY,s,s,s,s,s,s,s,20112012,204,    ,    ,44,9.0,3.6,15.0,6.0,20,8.1,57,23.0,153,61.7,17,6.9,125.0,50.4,123.0,49.6,24Q744,45-10 94TH STREET,1019856.0,210081.0,404,25,46300,4016000061,QN29,Elmhurst                                                                   ,"45-10 94TH STREET
QUEENS, NY 11373
(40.743228, -73.871505)"
25Q252,"QUEENS SCHOOL OF INQUIRY, THE",58,455,498,443,42,42,19,20112012,87,81,87,54,16.0,2.7,69.0,11.8,236,40.2,100,17.0,142,24.2,106,18.1,274.0,46.7,313.0,53.3,25Q252,158-40 76 ROAD,1037086.0,203178.0,408,24,125700,4068260001,QN37,Kew Gardens Hills                                                          ,"158-40 76 ROAD
QUEENS, NY 11366
(40.724195, -73.80938)"
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,45,314,417,318,s,s,s,20112012,100,116,110,96,374.0,88.6,3.0,0.7,272,64.5,5,1.2,138,32.7,7,1.7,242.0,57.3,180.0,42.7,25Q263,144-80 BARCLAY AVENUE,1034559.0,216204.0,407,20,86300,4050510027,QN51,Murray Hill                                                                ,"144-80 BARCLAY AVENUE
QUEENS, NY 11355
(40.759963, -73.818399)"
25Q281,EASTsWEST SCHOOL OF INTERNATIONAL STUDIES,59,416,463,392,s,s,s,20112012,103,96,93,69,84.0,13.6,58.0,9.4,386,62.7,91,14.8,110,17.9,21,3.4,333.0,54.1,283.0,45.9,25Q281,46-21 COLDEN STREET,1033735.0,212365.0,407,20,84500,4051470001,QN22,Flushing                                                                   ,"46-21 COLDEN STREET
QUEENS, NY 11355
(40.74943, -73.821402)"
25Q285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,63,471,489,481,104,130,43,20112012,97,93,83,69,5.0,0.8,106.0,17.8,115,19.3,50,8.4,121,20.3,307,51.6,251.0,42.2,344.0,57.8,25Q285,34-65 192 STREET,1042598.0,218015.0,411,19,113900,4052610001,QN48,Auburndale                                                                 ,"34-65 192 STREET
QUEENS, NY 11358
(40.764884, -73.789365)"
25Q425,JOHN BOWNE HIGH SCHOOL,558,397,451,395,336,548,239,20112012,1204,923,841,692,903.0,24.7,360.0,9.8,1257,34.3,702,19.2,1488,40.7,192,5.2,1801.0,49.2,1859.0,50.8,25Q425,63-25 MAIN STREET,1033068.0,207998.0,408,24,80900,4065070001,QN37,Kew Gardens Hills                                                          ,"63-25 MAIN STREET
QUEENS, NY 11367
(40.737448, -73.823841)"
25Q460,FLUSHING HIGH SCHOOL,347,393,441,382,370,550,133,20112012,1204,809,627,473,624.0,20.0,363.0,11.7,618,19.9,825,26.5,1551,49.8,101,3.2,1737.0,55.8,1376.0,44.2,25Q460,35-01 UNION STREET,1032225.0,217995.0,407,20,116100,4050020001,QN22,Flushing                                                                   ,"35-01 UNION STREET
QUEENS, NY 11354
(40.764892, -73.826811)"
25Q525,TOWNSEND HARRIS HIGH SCHOOL,278,621,651,638,758,1249,937,20112012,315,286,270,269,0.0,0.0,2.0,0.2,633,55.5,67,5.9,147,12.9,280,24.6,330.0,28.9,810.0,71.1,25Q525,149-11 MELBOURNE AVENUE,1033708.0,207850.0,408,24,80900,4065070100,QN37,Kew Gardens Hills                                                          ,"149-11 MELBOURNE AVENUE
QUEENS, NY 11367
(40.737038, -73.821532)"
25Q540,QUEENS ACADEMY HIGH SCHOOL,17,398,382,388,s,s,s,20112012,    ,120,118,166,26.0,6.4,36.0,8.9,64,15.8,171,42.3,145,35.9,22,5.4,240.0,59.4,164.0,40.6,25Q540,138-11 35 AVENUE,1031818.0,218261.0,407,20,88901,4049560055,QN22,Flushing                                                                   ,"138-11 35 AVENUE
QUEENS, NY 11354
(40.765624, -73.828279)"
25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,99,431,458,441,95,151,43,20112012,242,176,163,140,54.0,7.5,133.0,18.4,205,28.4,83,11.5,255,35.4,177,24.5,388.0,53.8,333.0,46.2,25Q670,75-40 PARSONS BOULEVARD,1036523.0,203572.0,408,24,77908,4068090056,QN37,Kew Gardens Hills                                                          ,"75-40 PARSONS BOULEVARD
QUEENS, NY 11366
(40.72528, -73.811408)"
25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,7,379,421,377,s,s,s,20112012,77,77,31,13,3.0,1.5,23.0,11.6,20,10.1,84,42.4,66,33.3,28,14.1,90.0,45.5,108.0,54.5,25Q792,141-25 77TH ROAD,1034238.0,201857.0,408,24,77903,4066290035,QN37,Kew Gardens Hills                                                          ,"141-25 77TH ROAD
QUEENS, NY 11367
(40.720586, -73.819664)"
26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,888,480,545,489,722,1294,873,20112012,958,1008,1047,899,240.0,6.1,448.0,11.5,1788,45.7,718,18.4,727,18.6,657,16.8,1853.0,47.4,2059.0,52.6,26Q415,57-00 223RD STREET,1051501.0,213469.0,411,23,138501,4075290001,QN42,Oakland Gardens                                                            ,"57-00 223RD STREET
BAYSIDE, NY 11364
(40.752343, -73.757271)"
26Q430,FRANCIS LEWIS HIGH SCHOOL,934,468,539,467,819,1191,712,20112012,983,998,1100,1071,546.0,13.2,511.0,12.3,2153,51.9,343,8.3,999,24.1,642,15.5,2043.0,49.2,2109.0,50.8,26Q430,58-20 UTOPIA PARKWAY,1041044.0,209264.0,411,20,141700,4068820001,QN48,Auburndale                                                                 ,"58-20 UTOPIA PARKWAY
QUEENS, NY 11365
(40.740875, -73.795049)"
26Q435,MARTIN VAN BUREN HIGH SCHOOL,334,391,397,384,62,68,8,20112012,722,641,547,480,237.0,9.9,274.0,11.5,576,24.1,1348,56.4,360,15.1,69,2.9,1298.0,54.3,1092.0,45.7,26Q435,230-17 HILLSIDE AVENUE,1056382.0,206759.0,413,23,130100,4079300002,QN43,Bellerose                                                                  ,"230-17 HILLSIDE AVENUE
QUEENS, NY 11427
(40.733888, -73.739726)"
26Q495,BAYSIDE HIGH SCHOOL,708,462,523,464,734,1056,493,20112012,746,921,786,855,190.0,5.7,351.0,10.6,1494,45.2,419,12.7,737,22.3,647,19.6,1633.0,49.4,1675.0,50.6,26Q495,32-24 CORPORAL KENNEDY STREET,1044898.0,220394.0,411,19,109700,4060440001,QN46,Bayside-Bayside Hills                                                      ,"32-24 CORPORAL KENNEDY STREET
QUEENS, NY 11361
(40.771398, -73.781041)"
26Q566,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES",175,425,434,420,34,36,11,20112012,344,322,279,251,30.0,2.5,166.0,13.9,285,23.8,554,46.3,201,16.8,147,12.3,548.0,45.8,648.0,54.2,26Q566,74-20 COMMONWEALTH BLVD,1059389.0,210524.0,413,23,156700,4078700072,QN43,Bellerose                                                                  ,"74-20 COMMONWEALTH BLVD
QUEENS, NY 11426
(40.744197, -73.728834)"
27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,87,387,385,373,12,12,s,20112012,136,119,115,75,18.0,4.0,62.0,13.9,17,3.8,298,67.0,120,27.0,6,1.3,234.0,52.6,211.0,47.4,27Q260,8-21 BAY 25 STREET,1049786.0,158521.0,414,31,100802,4157360001,QN15,Far Rockaway-Bayswater                                                     ,"8-21 BAY 25 STREET
QUEENS, NY 11691
(40.601537, -73.763995)"
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,74,432,419,401,38,38,13,20112012,121,107,94,87,8.0,1.3,67.0,10.5,36,5.7,351,55.2,175,27.5,71,11.2,325.0,51.1,311.0,48.9,27Q262,100-00 BEACH CHANNEL DRIVE,1032769.0,152825.0,414,32,93800,4161670099,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      ,"100-00 BEACH CHANNEL DRIVE
QUEENS, NY 11694
(40.586012, -73.825317)"
27Q302,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY",44,391,401,364,s,s,s,20112012,88,79,75,68,33.0,10.6,50.0,16.1,13,4.2,187,60.3,93,30.0,14,4.5,169.0,54.5,141.0,45.5,27Q302,8-21 BAY 25 STREET,1049786.0,158521.0,414,31,100802,4157360001,QN15,Far Rockaway-Bayswater                                                     ,"8-21 BAY 25 STREET
QUEENS, NY 11691
(40.601537, -73.763995)"
27Q308,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY,93,423,426,416,62,112,17,20112012,170,156,138,114,21.0,3.6,92.0,15.9,155,26.8,44,7.6,246,42.6,126,21.8,278.0,48.1,300.0,51.9,27Q308,138-30 LAFAYETTE STREET,1026972.0,183743.0,410,32,5800,4114030001,QN56,Ozone Park                                                                 ,"138-30 LAFAYETTE STREET
QUEENS, NY 11417
(40.670905, -73.845992)"
27Q309,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,36,367,379,348,10,10,s,20112012,139,104,54,38,56.0,10.6,74.0,14.0,48,9.1,277,52.6,180,34.2,17,3.2,231.0,43.8,296.0,56.2,27Q309,8-21 BAY 25 STREET,1049786.0,158521.0,414,31,100802,4157360001,QN15,Far Rockaway-Bayswater                                                     ,"8-21 BAY 25 STREET
QUEENS, NY 11691
(40.601537, -73.763995)"
